RQ	Scholar	Stats	Plan	Tools	Analysis	Inspect	Plots	Results	Validate	Notes
7.6.2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	RAVLT forgetting predicts VR forgetting (v5.3.0 verified)
7.6.3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Domain-specific forgetting reliability (ICC analysis) (v5.3.0 verified)
7.6.4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Purification paradox: slopes without intercepts (v5.3.0 verified)
7.7.1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Reverse prediction: VR predicts traditional tests (v5.3.0 verified)
7.7.2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Discrepancy scores and cognitive reserve indicators (v5.3.0 verified)
7.7.3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	RAVLT trials optimize VR memory prediction (v5.3.0 verified)
7.7.4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Normative data for VR-traditional discrepancies (v5.3.0 verified)
7.8.1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Latent profile analysis of VR memory (K=1-4) (v5.3.0 verified)
7.8.2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	LPA external validation with cognitive tests (v5.3.0 verified)
7.8.3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Nested regression model comparison (v5.3.0 verified)
7.8.4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Multivariate cognitive prediction of domains (v5.3.0 verified)
